,Review text,Ratings
0,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4
1,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1
2,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1
3,"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",3
4,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1
5,Good quality product. Delivered on time.READ MORE,5
6,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5
7,Good quality original shuttles.READ MORE,5
8,AwesomeREAD MORE,5
9,nice original productsREAD MORE,5
10,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5
11,Best in class....READ MORE,5
12,it's genuine and price is less than our near by shopREAD MORE,5
13,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1
14,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5
15,NycREAD MORE,5
16,I usually buy them the same model but this did not last even for a dayREAD MORE,1
17,"Poor quality, not originalREAD MORE",2
18,Delivered on expected timeREAD MORE,5
19,nice and original productREAD MORE,5
20,Very nice and Good price compare then local sports.READ MORE,5
21,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5
22,superbREAD MORE,4
23,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1
24,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4
25,Good sealed Original Yonex ShuttlesREAD MORE,5
26,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2
27,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4
28,quality is pooverREAD MORE,5
29,good productREAD MORE,5
30,Good product.....READ MORE,5
31,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4
32,"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2
33,Local productREAD MORE,1
34,Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2
35,shuttle is over rotatingREAD MORE,2
36,Very bad quality.READ MORE,1
37,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1
38,Not expecting this kind of products from flipkart.READ MORE,3
39,No one better shuttles in the market.good quality and reasonable price.READ MORE,5
40,low qualityREAD MORE,1
41,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4
42,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1
43,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4
44,Very bad quality this timeREAD MORE,1
45,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1
46,"Quality is not good, rejected qualityREAD MORE",1
47,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5
48,Really Nice productQuick delivery Thanks filpkartREAD MORE,5
49,Very nice shuttleREAD MORE,5
50,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1
51,Quality very low. Not orginalREAD MORE,1
52,WorstREAD MORE,1
53,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1
54,Dont but it.... worst productREAD MORE,1
55,Low quality very bad quality 😡READ MORE,1
